,,Tier,,CPU,Price/ HR,Price/Month,CPU,Default Dynamic Assumption,5%
TimeSeries,Compute,Performance,US-EAST-1,0.5CPU/ 2GB RAM,$0.04,30.10,0.5,,
TimeSeries,Compute,Performance,US-EAST-1,1CPU/ 4GB RAM,$0.20,147.22,1,,
TimeSeries,Compute,Performance,US-EAST-1,2CPU/ 8GB Ram,$0.40,294.43,2,,
TimeSeries,Compute,Performance,US-EAST-1,4CPU/ 16GB Ram,$0.81,588.87,4,,
TimeSeries,Compute,Performance,US-EAST-1,8CPU/ 32GB RAM,$1.21,883.30,8,,
TimeSeries,Compute,Performance,US-EAST-1,.25 CPU/ 1GB Ram,$0.02,15.31,0.25,,
TimeSeries,Compute,Performance,US-EAST-1,16CPU/ 64GB RAM,$2.42,"1,766.60",16,,
TimeSeries,Compute,Performance,US-EAST-1,32CPU/ 128GB RAM,$4.84,"3,533.20",32,,
TimeSeries,Compute,Performance,US-WEST-2,.25 CPU/ 1GB Ram,$0.02,15.31,0.25,,
TimeSeries,Compute,Performance,US-WEST-2,0.5CPU/ 2GB RAM,$0.04,30.10,0.5,,
TimeSeries,Compute,Performance,US-WEST-2,1CPU/ 4GB RAM,$0.20,147.22,1,,
TimeSeries,Compute,Performance,US-WEST-2,2CPU/ 8GB Ram,$0.40,294.43,2,,
TimeSeries,Compute,Performance,US-WEST-2,4CPU/ 16GB Ram,$0.81,588.87,4,,
TimeSeries,Compute,Performance,US-WEST-2,8CPU/ 32GB RAM,$1.21,883.30,8,,
TimeSeries,Compute,Performance,US-WEST-2,16CPU/ 64GB RAM,$2.42,"1,766.60",16,,
TimeSeries,Compute,Performance,US-WEST-2,32CPU/ 128GB RAM,$4.84,"3,533.20",32,,
TimeSeries,Compute,Performance,EU-WEST-1,.25 CPU/ 1GB Ram,$0.03,23.01,0.25,,
TimeSeries,Compute,Performance,EU-WEST-1,0.5CPU/ 2GB RAM,$0.06,44.37,0.5,,
TimeSeries,Compute,Performance,EU-WEST-1,1CPU/ 4GB RAM,$0.29,208.29,1,,
TimeSeries,Compute,Performance,EU-WEST-1,2CPU/ 8GB Ram,$0.57,416.59,2,,
TimeSeries,Compute,Performance,EU-WEST-1,4CPU/ 16GB Ram,$1.14,833.17,4,,
TimeSeries,Compute,Performance,EU-WEST-1,8CPU/ 32GB RAM,$2.28,"1,666.35",8,,
TimeSeries,Compute,Performance,EU-WEST-1,16CPU/ 64GB RAM,$4.57,"3,332.69",16,,
TimeSeries,Compute,Performance,EU-WEST-1,32CPU/ 128GB RAM,$9.13,"6,665.39",32,,
TimeSeries,Compute,Performance,EU-CENTRAL-1,.25 CPU/ 1GB Ram,$0.03,24.74,0.25,,
TimeSeries,Compute,Performance,EU-CENTRAL-1,0.5CPU/ 2GB RAM,$0.07,47.68,0.5,,
TimeSeries,Compute,Performance,EU-CENTRAL-1,1CPU/ 4GB RAM,$0.31,223.87,1,,
TimeSeries,Compute,Performance,EU-CENTRAL-1,2CPU/ 8GB Ram,$0.61,447.73,2,,
TimeSeries,Compute,Performance,EU-CENTRAL-1,4CPU/ 16GB Ram,$1.23,895.47,4,,
TimeSeries,Compute,Performance,EU-CENTRAL-1,8CPU/ 32GB RAM,$2.45,"1,790.93",8,,
TimeSeries,Compute,Performance,EU-CENTRAL-1,16CPU/ 64GB RAM,$4.91,"3,581.87",16,,
TimeSeries,Compute,Performance,EU-CENTRAL-1,32CPU/ 128GB RAM,$9.81,"7,163.73",32,,
TimeSeries,Compute,Performance,AP-SOUTHEAST-2,0.5CPU/ 2GB RAM,$0.07,49.76,0.5,,
TimeSeries,Compute,Performance,AP-SOUTHEAST-2,1CPU/ 4GB RAM,$0.32,233.60,1,,
TimeSeries,Compute,Performance,AP-SOUTHEAST-2,2CPU/ 8GB Ram,$0.64,467.20,2,,
TimeSeries,Compute,Performance,AP-SOUTHEAST-2,4CPU/ 16GB Ram,$1.28,934.40,4,,
TimeSeries,Compute,Performance,AP-SOUTHEAST-2,8CPU/ 32GB RAM,$2.56,"1,868.80",8,,
TimeSeries,Compute,Performance,AP-SOUTHEAST-2,16CPU/ 64GB RAM,$5.12,"3,737.60",16,,
TimeSeries,Compute,Performance,AP-SOUTHEAST-2,32CPU/ 128GB RAM,$10.24,"7,475.20",32,,
TimeSeries,Compute,Performance,AP-SOUTHEAST-1,0.5CPU/ 2GB RAM,$0.07,49.76,0.5,,
TimeSeries,Compute,Performance,AP-SOUTHEAST-1,1CPU/ 4GB RAM,$0.32,233.60,1,,
TimeSeries,Compute,Performance,AP-SOUTHEAST-1,2CPU/ 8GB Ram,$0.64,467.20,2,,
TimeSeries,Compute,Performance,AP-SOUTHEAST-1,4CPU/ 16GB Ram,$1.28,934.40,4,,
TimeSeries,Compute,Performance,AP-SOUTHEAST-1,8CPU/ 32GB RAM,$2.56,"1,868.80",8,,
